task_id,input_tokens,output_tokens,total_tokens,num_candidates,num_perfect_candidates,is_solved,max_score,avg_score,sum_score,all_scores
2026-01-07_07-41-19_#65-0: task_2,30459,1073,31532,5,1,True,1.0,0.2,1.0,"[1.0, 0.0, 0.0, 0.0, 0.0]"
2026-01-07_07-41-19_#66-0: task_7,30418,1237,31655,5,0,False,0.0,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]"
2026-01-07_07-41-19_#67-0: task_6,23668,620,24288,4,0,False,0.5,0.125,0.5,"[0.0, 0.0, 0.5, 0.0]"
2026-01-07_07-41-19_#68-0: task_4,8907,271,9178,1,0,False,0.0,0.0,0.0,[0.0]
2026-01-07_07-41-19_#69-0: task_5,19184,897,20081,3,0,False,0.5,0.166667,0.5,"[0.5, 0.0, 0.0]"
2026-01-07_07-41-19_#70-0: task_1,28976,907,29883,3,0,False,0.0,0.0,0.0,"[0.0, 0.0, 0.0]"
2026-01-07_07-41-19_#71-0: task_4,29154,871,30025,5,0,False,0.0,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]"
2026-01-07_07-41-19_#72-0: task_4,14579,561,15140,2,0,False,0.0,0.0,0.0,"[0.0, 0.0]"
2026-01-07_07-41-19_#73-0: task_5,5074,80,5154,1,0,False,0.0,0.0,0.0,[0.0]
2026-01-07_07-41-19_#74-0: task_4,23265,493,23758,4,0,False,0.0,0.0,0.0,"[0.0, 0.0, 0.0, 0.0]"
2026-01-07_07-41-19_#75-0: task_5,6957,292,7249,1,0,False,0.0,0.0,0.0,[0.0]
2026-01-07_07-41-19_#76-0: task_5,29691,1055,30746,5,0,False,0.0,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]"
2026-01-07_07-41-19_#77-0: task_7,23885,823,24708,2,0,False,0.0,0.0,0.0,"[0.0, 0.0]"
