task_id,input_tokens,output_tokens,total_tokens,num_candidates,num_perfect_candidates,is_actually_solved,is_partially_solved,max_score,avg_score,sum_score,pseudo_sum_score,all_scores
2026-01-08_14-49-54_#56-0: task_7,0,0,0,1,0,False,True,0.33,0.33,0.33,0.33,[0.33]
2026-01-08_14-49-54_#57-0: task_2,0,0,0,1,0,False,False,0.0,0.0,0.0,0.0,[0.0]
2026-01-08_14-49-54_#58-0: task_2,0,0,0,1,0,False,False,0.0,0.0,0.0,0.0,[0.0]
2026-01-08_14-49-54_#59-0: task_6,0,0,0,1,0,False,True,0.5,0.5,0.5,0.5,[0.5]
2026-01-08_14-49-54_#60-0: task_4,0,0,0,1,0,False,False,0.0,0.0,0.0,0.0,[0.0]
2026-01-08_14-49-54_#61-0: task_5,0,0,0,1,0,False,True,0.5,0.5,0.5,0.5,[0.5]
2026-01-08_14-49-54_#62-0: task_2,0,0,0,1,0,False,False,0.0,0.0,0.0,0.0,[0.0]
2026-01-08_14-49-54_#63-0: task_3,0,0,0,1,0,False,False,0.0,0.0,0.0,0.0,[0.0]
2026-01-08_14-49-54_#65-0: task_7,0,0,0,1,0,False,True,0.17,0.17,0.17,0.17,[0.17]
2026-01-08_14-49-54_#66-0: task_5,0,0,0,1,0,False,False,0.0,0.0,0.0,0.0,[0.0]
2026-01-08_14-49-54_#67-0: task_4,0,0,0,1,0,False,False,0.0,0.0,0.0,0.0,[0.0]
2026-01-08_14-49-54_#70-0: task_7,0,0,0,1,0,False,False,0.0,0.0,0.0,0.0,[0.0]
2026-01-08_14-49-54_#71-0: task_6,0,0,0,1,0,False,False,0.0,0.0,0.0,0.0,[0.0]
2026-01-08_14-49-54_#72-0: task_6,0,0,0,1,0,False,True,0.5,0.5,0.5,0.5,[0.5]
2026-01-08_14-49-54_#73-0: task_2,0,0,0,1,0,False,False,0.0,0.0,0.0,0.0,[0.0]
2026-01-08_14-49-54_#74-0: task_4,0,0,0,1,0,False,False,0.0,0.0,0.0,0.0,[0.0]
2026-01-08_14-49-54_#76-0: task_6,0,0,0,1,0,False,False,0.0,0.0,0.0,0.0,[0.0]
2026-01-08_14-49-54_#77-0: task_3,0,0,0,1,0,False,False,0.0,0.0,0.0,0.0,[0.0]
2026-01-08_14-49-54_#78-0: task_4,0,0,0,1,0,False,False,0.0,0.0,0.0,0.0,[0.0]
2026-01-08_14-49-54_#79-0: task_5,0,0,0,1,0,False,False,0.0,0.0,0.0,0.0,[0.0]
2026-01-08_14-49-54_#80-0: task_4,0,0,0,1,0,False,False,0.0,0.0,0.0,0.0,[0.0]
2026-01-08_14-49-54_#81-0: task_1,0,0,0,1,0,False,False,0.0,0.0,0.0,0.0,[0.0]
2026-01-08_14-49-54_#82-0: task_2,0,0,0,1,0,False,False,0.0,0.0,0.0,0.0,[0.0]
2026-01-08_14-49-54_#83-0: task_2,0,0,0,1,0,False,False,0.0,0.0,0.0,0.0,[0.0]
2026-01-08_14-49-54_#84-0: task_1,0,0,0,1,0,False,False,0.0,0.0,0.0,0.0,[0.0]
2026-01-08_14-49-54_#85-0: task_3,0,0,0,1,1,True,False,1.0,1.0,1.0,1.0,[1.0]
2026-01-08_14-49-54_#87-0: task_5,0,0,0,1,0,False,False,0.0,0.0,0.0,0.0,[0.0]
2026-01-08_14-49-54_#90-0: task_5,0,0,0,1,0,False,True,0.5,0.5,0.5,0.5,[0.5]
2026-01-08_14-49-54_#92-0: task_1,0,0,0,1,0,False,False,0.0,0.0,0.0,0.0,[0.0]
2026-01-08_14-49-54_#93-0: task_1,0,0,0,1,0,False,False,0.0,0.0,0.0,0.0,[0.0]
2026-01-08_14-49-54_#94-0: task_1,0,0,0,1,0,False,False,0.0,0.0,0.0,0.0,[0.0]
2026-01-08_14-49-54_#95-0: task_1,0,0,0,1,0,False,False,0.0,0.0,0.0,0.0,[0.0]
2026-01-08_14-49-54_#96-0: task_7,0,0,0,1,0,False,False,0.0,0.0,0.0,0.0,[0.0]
2026-01-08_14-49-54_#97-0: task_3,0,0,0,1,0,False,False,0.0,0.0,0.0,0.0,[0.0]
2026-01-08_14-49-54_#98-0: task_2,0,0,0,1,0,False,False,0.0,0.0,0.0,0.0,[0.0]
2026-01-08_14-49-54_#99-0: task_3,0,0,0,1,0,False,False,0.0,0.0,0.0,0.0,[0.0]
2026-01-08_14-49-54_#101-0: task_4,0,0,0,1,0,False,False,0.0,0.0,0.0,0.0,[0.0]
2026-01-08_14-49-54_#102-0: task_2,0,0,0,1,0,False,False,0.0,0.0,0.0,0.0,[0.0]
2026-01-08_14-49-54_#103-0: task_5,0,0,0,1,0,False,False,0.0,0.0,0.0,0.0,[0.0]
2026-01-08_14-49-54_#104-0: task_2,0,0,0,1,0,False,False,0.0,0.0,0.0,0.0,[0.0]
2026-01-08_14-49-54_#105-0: task_6,0,0,0,1,0,False,False,0.0,0.0,0.0,0.0,[0.0]
2026-01-08_14-49-54_#106-0: task_4,0,0,0,1,0,False,False,0.0,0.0,0.0,0.0,[0.0]
2026-01-08_14-49-54_#107-0: task_2,0,0,0,1,0,False,False,0.0,0.0,0.0,0.0,[0.0]
2026-01-08_14-49-54_#108-0: task_7,0,0,0,1,0,False,True,0.17,0.17,0.17,0.17,[0.17]
2026-01-08_14-49-54_#110-0: task_7,0,0,0,1,0,False,False,0.0,0.0,0.0,0.0,[0.0]
2026-01-08_14-49-54_#111-0: task_4,0,0,0,1,0,False,False,0.0,0.0,0.0,0.0,[0.0]
2026-01-08_14-49-54_#112-0: task_2,0,0,0,1,0,False,False,0.0,0.0,0.0,0.0,[0.0]
2026-01-08_14-49-54_#113-0: task_1,0,0,0,1,0,False,False,0.0,0.0,0.0,0.0,[0.0]
2026-01-08_14-49-54_#114-0: task_1,0,0,0,1,0,False,False,0.0,0.0,0.0,0.0,[0.0]
2026-01-08_14-49-54_#115-0: task_6,0,0,0,1,0,False,False,0.0,0.0,0.0,0.0,[0.0]
2026-01-08_14-49-54_#116-0: task_4,0,0,0,1,0,False,False,0.0,0.0,0.0,0.0,[0.0]
2026-01-08_14-49-54_#117-0: task_3,0,0,0,1,0,False,False,0.0,0.0,0.0,0.0,[0.0]
2026-01-08_14-49-54_#118-0: task_4,0,0,0,1,0,False,False,0.0,0.0,0.0,0.0,[0.0]
2026-01-08_14-49-54_#119-0: task_4,0,0,0,1,0,False,False,0.0,0.0,0.0,0.0,[0.0]
2026-01-08_14-49-54_#120-0: task_4,0,0,0,1,0,False,False,0.0,0.0,0.0,0.0,[0.0]
2026-01-08_14-49-54_#121-0: task_1,0,0,0,1,0,False,False,0.0,0.0,0.0,0.0,[0.0]
2026-01-08_14-49-54_#122-0: task_6,0,0,0,1,0,False,True,0.5,0.5,0.5,0.5,[0.5]
2026-01-08_14-49-54_#124-0: task_6,0,0,0,1,0,False,True,0.5,0.5,0.5,0.5,[0.5]
2026-01-08_14-49-54_#125-0: task_1,0,0,0,1,0,False,False,0.0,0.0,0.0,0.0,[0.0]
2026-01-08_14-49-54_#126-0: task_1,0,0,0,1,0,False,False,0.0,0.0,0.0,0.0,[0.0]
2026-01-08_14-49-54_#127-0: task_4,0,0,0,1,0,False,False,0.0,0.0,0.0,0.0,[0.0]
2026-01-08_14-49-54_#128-0: task_6,0,0,0,1,0,False,False,0.0,0.0,0.0,0.0,[0.0]
2026-01-08_14-49-54_#129-0: task_3,0,0,0,1,0,False,False,0.0,0.0,0.0,0.0,[0.0]
2026-01-08_14-49-54_#130-0: task_7,0,0,0,1,0,False,True,0.17,0.17,0.17,0.17,[0.17]
2026-01-08_14-49-54_#131-0: task_7,0,0,0,1,0,False,False,0.0,0.0,0.0,0.0,[0.0]
2026-01-08_14-49-54_#132-0: task_1,0,0,0,1,1,True,False,1.0,1.0,1.0,1.0,[1.0]
2026-01-08_14-49-54_#133-0: task_2,0,0,0,1,0,False,False,0.0,0.0,0.0,0.0,[0.0]
2026-01-08_14-49-54_#134-0: task_2,0,0,0,1,0,False,False,0.0,0.0,0.0,0.0,[0.0]
2026-01-08_14-49-54_#135-0: task_4,0,0,0,1,0,False,False,0.0,0.0,0.0,0.0,[0.0]
